source,target,value
CVE-2015-2709,mozilla,7.5
CVE-2015-2709,novell,7.5
CVE-2015-3267,redhat,4.3
CVE-2015-5458,pivotx,6.8
CVE-2015-1158,cups,0.0
CVE-2015-1013,osisoft,6.5
CVE-2015-5457,pivotx,7.5
CVE-2015-1011,hospira,5.0
CVE-2015-1010,rockwellautomation,4.9
CVE-2015-5456,pivotx,4.3
CVE-2015-5455,qualiteam,4.3
CVE-2015-2218,magichills,4.3
CVE-2015-2219,lenovo,7.2
CVE-2015-5454,nucleuscms,4.3
CVE-2015-5453,watchguard,6.5
CVE-2015-2214,netcat,5.0
CVE-2015-2215,servicessinglesign-onserverhelperproject,5.8
CVE-2015-2216,photocatimedia,7.5
CVE-2015-2217,myupb,4.3
CVE-2015-1497,persistentsystems,0.0
CVE-2015-1400,npds,7.5
CVE-2015-1495,motorola,6.8
CVE-2015-1494,fancyboxproject,4.3
CVE-2015-1493,moodle,6.8
CVE-2015-1492,symantec,8.5
CVE-2015-1491,symantec,6.0
CVE-2015-1490,symantec,5.5
CVE-2015-3349,htaccessproject,6.8
CVE-2015-3348,cloudwords,3.5
CVE-2015-4109,usersultra,7.5
CVE-2015-1150,apple,5.0
CVE-2015-1499,samsung,8.5
CVE-2015-1498,persistentsystems,0.0
CVE-2015-5790,apple,6.8
CVE-2015-5791,apple,6.8
CVE-2015-5792,apple,6.8
CVE-2015-1151,apple,5.0
CVE-2015-5794,apple,6.8
CVE-2015-5795,apple,6.8
CVE-2015-1279,google,7.5
CVE-2015-1278,google,4.3
CVE-2015-1277,google,7.5
CVE-2015-1276,google,7.5
CVE-2015-1275,novell,4.3
CVE-2015-1275,google,4.3
CVE-2015-1274,google,6.8
CVE-2015-1273,google,6.8
CVE-2015-1272,google,7.5
CVE-2015-1271,google,6.8
CVE-2015-1270,google,6.8
CVE-2015-5157,linux,7.2
CVE-2015-5154,xen,7.2
CVE-2015-1479,zohocorp,6.5
CVE-2015-1478,cmsjunkie,4.3
CVE-2015-5150,zohocorp,3.5
CVE-2015-5151,themepunch,4.3
CVE-2015-1475,mylittleforum,4.3
CVE-2015-1474,google,0.0
CVE-2015-1477,cmsjunkie,7.5
CVE-2015-1476,ecommercemajorproject,7.5
CVE-2015-1471,pragyancmsproject,7.5
CVE-2015-1473,canonical,6.4
CVE-2015-1473,gnu,6.4
CVE-2015-1472,gnu,7.5
CVE-2015-6751,timetrackerproject,3.5
CVE-2015-5752,apple,5.0
CVE-2015-6750,ricoh,7.5
CVE-2015-5808,apple,6.8
CVE-2015-5809,apple,6.8
CVE-2015-0878,almail,5.8
CVE-2015-0879,almail,4.3
CVE-2015-2101,impliedbydesign,4.3
CVE-2015-2102,clip-bucket,7.5
CVE-2015-2103,cosmoshop,4.3
CVE-2015-5800,apple,6.8
CVE-2015-0873,homepagedecorator,4.3
CVE-2015-0870,nishishi,4.3
CVE-2015-0871,shiromuku,4.3
CVE-2015-0876,saurus,4.3
CVE-2015-0877,c-boardmoyukuproject,7.5
CVE-2015-5806,apple,6.8
CVE-2015-0875,okb.co.jp,1.8
CVE-2015-4174,siemens,4.3
CVE-2015-4173,dell,4.4
CVE-2015-5489,smarttrimproject,3.5
CVE-2015-4171,strongswan,2.6
CVE-2015-4171,canonical,2.6
CVE-2015-4171,debian,2.6
CVE-2015-5485,theeventscalendar,4.3
CVE-2015-5487,techsmith,4.3
CVE-2015-5481,dev4press,4.3
CVE-2015-5482,dev4press,4.0
CVE-2015-4775,oracle,6.9
CVE-2015-4774,oracle,3.3
CVE-2015-4777,oracle,6.9
CVE-2015-4776,oracle,6.9
CVE-2015-4771,canonical,3.5
CVE-2015-4771,oracle,3.5
CVE-2015-4770,oracle,4.9
CVE-2015-4773,oracle,4.0
CVE-2015-4772,canonical,4.0
CVE-2015-4772,oracle,4.0
CVE-2015-6932,vmware,5.8
CVE-2015-4779,oracle,3.3
CVE-2015-4778,oracle,6.9
CVE-2015-5521,blackcat-cms,4.3
CVE-2015-4588,novell,6.8
CVE-2015-4588,wvware,6.8
CVE-2015-4588,fedoraproject,6.8
CVE-2015-6909,synology,4.3
CVE-2015-6929,nokia,4.3
CVE-2015-7604,splunk,4.3
CVE-2015-5557,adobe,0.0
CVE-2015-5557,linux,0.0
CVE-2015-5557,microsoft,0.0
CVE-2015-5557,apple,0.0
CVE-2015-3133,adobe,0.0
CVE-2015-3133,linux,0.0
CVE-2015-3133,microsoft,0.0
CVE-2015-3133,apple,0.0
CVE-2015-3340,fedoraproject,2.9
CVE-2015-3340,xen,2.9
CVE-2015-2192,wireshark,5.0
CVE-2015-2192,novell,5.0
CVE-2015-5895,sqlite,0.0
CVE-2015-5895,apple,0.0
CVE-2015-7601,pcman%27sftpserverproject,7.8
CVE-2015-0058,microsoft,7.2
CVE-2015-0059,microsoft,6.9
CVE-2015-4512,mozilla,6.4
CVE-2015-4512,linux,6.4
CVE-2015-4517,mozilla,7.5
CVE-2015-4516,mozilla,9.3
CVE-2015-0050,microsoft,9.3
CVE-2015-0051,microsoft,4.3
CVE-2015-0052,microsoft,9.3
CVE-2015-0053,microsoft,9.3
CVE-2015-0054,microsoft,4.3
CVE-2015-0055,microsoft,4.3
CVE-2015-0056,microsoft,9.3
CVE-2015-0057,microsoft,7.2
CVE-2015-5778,apple,6.8
CVE-2015-5779,apple,7.5
CVE-2015-5776,apple,7.5
CVE-2015-5777,apple,6.8
CVE-2015-5774,apple,7.2
CVE-2015-2194,digitalnature,6.5
CVE-2015-5772,apple,6.8
CVE-2015-5773,apple,6.8
CVE-2015-5770,apple,5.8
CVE-2015-5771,apple,6.8
CVE-2015-6826,ffmpeg,7.5
CVE-2015-3131,adobe,0.0
CVE-2015-3131,linux,0.0
CVE-2015-3131,microsoft,0.0
CVE-2015-3131,apple,0.0
CVE-2015-2926,zoneo-soft,4.3
CVE-2015-2922,linux,3.3
CVE-2015-2922,debian,3.3
CVE-2015-4428,adobe,0.0
CVE-2015-4428,microsoft,0.0
CVE-2015-4428,apple,0.0
CVE-2015-4428,linux,0.0
CVE-2015-3439,debian,4.3
CVE-2015-3439,wordpress,4.3
CVE-2015-3438,wordpress,4.3
CVE-2015-3438,debian,4.3
CVE-2015-4357,webformproject,3.5
CVE-2015-3436,zarafa,6.6
CVE-2015-3435,samsung,0.0
CVE-2015-4354,ubercartwebformintegrationproject,3.5
CVE-2015-4353,osscube,5.8
CVE-2015-3136,adobe,0.0
CVE-2015-3136,microsoft,0.0
CVE-2015-3136,apple,0.0
CVE-2015-3136,linux,0.0
CVE-2015-4351,web-dorado,4.9
CVE-2015-4350,web-dorado,6.8
CVE-2015-4199,cisco,7.1
CVE-2015-4198,cisco,4.3
CVE-2015-1496,motorola,7.2
CVE-2015-4195,cisco,4.0
CVE-2015-4194,cisco,5.0
CVE-2015-4197,cisco,6.1
CVE-2015-4196,cisco,5.0
CVE-2015-4191,cisco,5.0
CVE-2015-3343,opacproject,6.8
CVE-2015-6824,ffmpeg,7.5
CVE-2015-3342,ubercartcurrencyconversionproject,5.8
CVE-2015-3345,phplistintegrationproject,6.5
CVE-2015-3137,adobe,0.0
CVE-2015-3137,microsoft,0.0
CVE-2015-3137,apple,0.0
CVE-2015-3137,linux,0.0
CVE-2015-3344,dlcsolutions,3.5
CVE-2015-3347,cloudwords,6.8
CVE-2015-5432,hp,7.5
CVE-2015-2694,mit,5.8
CVE-2015-3346,wikiwikiproject,7.5
CVE-2015-0209,openssl,6.8
CVE-2015-0208,openssl,4.3
CVE-2015-3227,rubyonrails,5.0
CVE-2015-0201,pivotalsoftware,5.0
CVE-2015-0200,ibm,2.1
CVE-2015-0202,apache,7.8
CVE-2015-0202,novell,7.8
CVE-2015-0205,openssl,5.0
CVE-2015-0204,openssl,4.3
CVE-2015-0207,openssl,5.0
CVE-2015-0206,openssl,5.0
CVE-2015-4229,cisco,5.0
CVE-2015-3225,rackproject,5.0
CVE-2015-4223,cisco,5.0
CVE-2015-4222,cisco,6.5
CVE-2015-4221,cisco,4.0
CVE-2015-4220,cisco,4.3
CVE-2015-4227,cisco,7.8
CVE-2015-4226,cisco,7.1
CVE-2015-4225,cisco,4.0
CVE-2015-4224,cisco,7.2
CVE-2015-3221,openstack,4.0
CVE-2015-5488,thinkshout,2.1
CVE-2015-2635,oracle,6.8
CVE-2015-6821,ffmpeg,7.5
CVE-2015-5793,apple,6.8
CVE-2015-3648,montala,7.5
CVE-2015-3644,stunnel,5.8
CVE-2015-3646,openstack,4.0
CVE-2015-3647,wppa.opajaap,4.3
CVE-2015-0515,emc,6.5
CVE-2015-0514,emc,5.0
CVE-2015-0517,emc,4.0
CVE-2015-0516,emc,4.0
CVE-2015-0511,oracle,2.8
CVE-2015-0510,oracle,4.3
CVE-2015-0513,emc,3.5
CVE-2015-0512,emc,5.8
CVE-2015-2746,websense,6.5
CVE-2015-2747,websense,4.3
CVE-2015-2744,mozilla,4.3
CVE-2015-2745,mozilla,4.3
CVE-2015-0519,emc,2.1
CVE-2015-0518,emc,9.0
CVE-2015-2740,mozilla,0.0
CVE-2015-2740,debian,0.0
CVE-2015-2740,novell,0.0
CVE-2015-2740,canonical,0.0
CVE-2015-2741,mozilla,4.3
CVE-2015-1863,canonical,5.8
CVE-2015-1863,w1.fi,5.8
CVE-2015-1860,fedoraproject,6.8
CVE-2015-1860,digia,6.8
CVE-2015-1867,clusterlabs,7.5
CVE-2015-5581,adobe,0.0
CVE-2015-5581,microsoft,0.0
CVE-2015-5581,apple,0.0
CVE-2015-5581,google,0.0
CVE-2015-5581,linux,0.0
CVE-2015-1868,powerdns,7.8
CVE-2015-5844,apple,9.3
CVE-2015-5529,freereprintables,4.3
CVE-2015-7337,ipython,6.8
CVE-2015-7337,jupyter,6.8
CVE-2015-4031,visualmining,0.0
CVE-2015-6746,basware,2.1
CVE-2015-0421,oracle,6.9
CVE-2015-0420,oracle,4.3
CVE-2015-0423,oracle,4.0
CVE-2015-0422,oracle,4.0
CVE-2015-0425,oracle,4.3
CVE-2015-0424,oracle,7.5
CVE-2015-0427,oracle,3.2
CVE-2015-0427,novell,3.2
CVE-2015-0426,oracle,5.0
CVE-2015-0429,sun,3.3
CVE-2015-0428,sun,4.9
CVE-2015-1914,ibm,5.0
CVE-2015-1915,ibm,4.3
CVE-2015-1913,ibm,5.0
CVE-2015-1910,ibm,3.5
CVE-2015-1911,ibm,4.3
CVE-2015-1310,sybase,7.5
CVE-2015-1647,microsoft,2.1
CVE-2015-1312,sap,7.5
CVE-2015-1645,microsoft,9.3
CVE-2015-1314,usaa,2.1
CVE-2015-1315,canonical,7.5
CVE-2015-1315,info-zip,7.5
CVE-2015-1640,microsoft,4.3
CVE-2015-1317,canonical,7.5
CVE-2015-1317,oxideproject,7.5
CVE-2015-1318,apportproject,7.2
CVE-2015-1319,canonical,2.1
CVE-2015-1648,microsoft,2.6
CVE-2015-1649,microsoft,9.3
CVE-2015-2359,microsoft,4.3
CVE-2015-2765,websense,4.3
CVE-2015-2351,alkacon,4.3
CVE-2015-2350,mikrotik,6.8
CVE-2015-2352,mybb,7.5
CVE-2015-6682,adobe,0.0
CVE-2015-6682,linux,0.0
CVE-2015-6682,google,0.0
CVE-2015-6682,microsoft,0.0
CVE-2015-6682,apple,0.0
CVE-2015-6681,adobe,0.0
CVE-2015-6680,adobe,0.0
CVE-2015-5501,aegirproject,7.5
CVE-2015-2599,oracle,4.0
CVE-2015-2598,oracle,3.5
CVE-2015-2597,oracle,7.2
CVE-2015-2596,oracle,4.3
CVE-2015-2595,oracle,6.5
CVE-2015-2594,oracle,6.6
CVE-2015-2593,oracle,7.1
CVE-2015-2592,oracle,3.5
CVE-2015-2591,oracle,4.0
CVE-2015-2590,oracle,0.0
CVE-2015-2766,websense,5.0
CVE-2015-0739,cisco,4.0
CVE-2015-0738,cisco,4.3
CVE-2015-5840,apple,5.0
CVE-2015-6563,openbsd,1.9
CVE-2015-0735,cisco,6.8
CVE-2015-0734,cisco,4.3
CVE-2015-0737,cisco,4.3
CVE-2015-0736,cisco,6.8
CVE-2015-0731,cisco,6.1
CVE-2015-0730,cisco,5.0
CVE-2015-0733,cisco,4.3
CVE-2015-0732,cisco,4.3
CVE-2015-1008,emerson,6.5
CVE-2015-1009,indusoft,1.7
CVE-2015-1009,wonderware,1.7
CVE-2015-1000,moxa,6.8
CVE-2015-5580,adobe,0.0
CVE-2015-5580,linux,0.0
CVE-2015-5580,apple,0.0
CVE-2015-5580,microsoft,0.0
CVE-2015-5580,google,0.0
CVE-2015-2767,websense,0.0
CVE-2015-2069,woothemes,4.3
CVE-2015-2068,magmi,4.3
CVE-2015-7303,avira,0.0
CVE-2015-2760,mcafee,3.5
CVE-2015-1480,manageengine,4.0
CVE-2015-1481,ansible,6.5
CVE-2015-1482,ansible,5.0
CVE-2015-1483,symantec,7.5
CVE-2015-1483,linux,7.5
CVE-2015-1484,symantec,6.9
CVE-2015-1485,symantec,6.8
CVE-2015-1486,symantec,7.5
CVE-2015-1487,symantec,5.5
CVE-2015-1488,symantec,4.0
CVE-2015-1489,symantec,8.5
CVE-2015-3358,tadaa%21project,5.8
CVE-2015-3359,roomreservationsproject,3.5
CVE-2015-1268,google,5.0
CVE-2015-1269,google,4.3
CVE-2015-5903,apple,0.0
CVE-2015-5905,apple,5.0
CVE-2015-5904,apple,4.3
CVE-2015-5907,apple,2.6
CVE-2015-5906,apple,5.0
CVE-2015-1260,google,7.5
CVE-2015-1261,debian,5.0
CVE-2015-1261,google,5.0
CVE-2015-1262,google,7.5
CVE-2015-1262,debian,7.5
CVE-2015-1263,google,4.3
CVE-2015-1263,debian,4.3
CVE-2015-1264,google,4.3
CVE-2015-1264,debian,4.3
CVE-2015-1265,debian,7.5
CVE-2015-1265,google,7.5
CVE-2015-1266,google,5.0
CVE-2015-1267,google,5.0
CVE-2015-0991,inductiveautomation,5.0
CVE-2015-0990,ecava,4.4
CVE-2015-0993,inductiveautomation,6.4
CVE-2015-0992,inductiveautomation,2.1
CVE-2015-0995,inductiveautomation,5.0
CVE-2015-0994,inductiveautomation,4.0
CVE-2015-0997,schneiderelectric,5.0
CVE-2015-1469,servision,9.0
CVE-2015-0999,schneiderelectric,2.1
CVE-2015-0998,schneiderelectric,3.3
CVE-2015-1464,fedoraproject,6.4
CVE-2015-1464,bestpractical,6.4
CVE-2015-1465,linux,7.8
CVE-2015-1462,fedoraproject,7.5
CVE-2015-1462,clamav,7.5
CVE-2015-1463,clamav,5.0
CVE-2015-1463,fedoraproject,5.0
CVE-2015-1460,huawei,7.5
CVE-2015-1461,fedoraproject,7.5
CVE-2015-1461,clamav,7.5
CVE-2015-2106,hp,6.4
CVE-2015-0847,canonical,7.8
CVE-2015-0847,wouterverhelst,7.8
CVE-2015-0846,django-markupfieldproject,5.0
CVE-2015-0845,sixapart,7.5
CVE-2015-0844,wesnoth,5.0
CVE-2015-2177,siemens,7.8
CVE-2015-0840,debian,4.3
CVE-2015-0840,canonical,4.3
CVE-2015-3224,rubyonrails,4.3
CVE-2015-3126,adobe,7.5
CVE-2015-3126,linux,7.5
CVE-2015-3126,microsoft,7.5
CVE-2015-3126,apple,7.5
CVE-2015-0848,wvware,6.8
CVE-2015-0848,fedoraproject,6.8
CVE-2015-0848,novell,6.8
CVE-2015-0199,ibm,4.9
CVE-2015-0198,ibm,0.0
CVE-2015-4162,paloaltonetworks,4.0
CVE-2015-4163,xen,4.9
CVE-2015-4164,xen,4.9
CVE-2015-4167,linux,4.7
CVE-2015-0193,ibm,3.5
CVE-2015-0192,ibm,7.5
CVE-2015-0197,ibm,7.2
CVE-2015-0196,ibm,5.0
CVE-2015-4767,oracle,1.7
CVE-2015-4767,canonical,1.7
CVE-2015-4764,oracle,6.9
CVE-2015-4765,oracle,3.5
CVE-2015-4763,oracle,3.6
CVE-2015-4760,oracle,0.0
CVE-2015-4761,canonical,3.5
CVE-2015-4761,oracle,3.5
CVE-2015-6923,vboxcomm,7.2
CVE-2015-6920,sourceafricaproject,4.3
CVE-2015-6921,zendesk,2.6
CVE-2015-5802,apple,6.8
CVE-2015-4768,oracle,4.0
CVE-2015-4769,canonical,3.5
CVE-2015-4769,oracle,3.5
CVE-2015-5803,apple,6.8
CVE-2015-2108,hp,3.5
CVE-2015-2109,hp,7.5
CVE-2015-4338,xcloner,6.5
CVE-2015-5807,apple,6.8
CVE-2015-0628,cisco,5.0
CVE-2015-5804,apple,6.8
CVE-2015-4502,mozilla,4.3
CVE-2015-4503,mozilla,5.0
CVE-2015-4500,mozilla,7.5
CVE-2015-4501,mozilla,7.5
CVE-2015-4506,mozilla,6.8
CVE-2015-4507,mozilla,5.1
CVE-2015-4504,mozilla,6.4
CVE-2015-4505,mozilla,6.6
CVE-2015-4505,microsoft,6.6
CVE-2015-4678,persiancarcmsproject,7.5
CVE-2015-4508,mozilla,2.6
CVE-2015-4509,mozilla,7.5
CVE-2015-5588,adobe,0.0
CVE-2015-5588,linux,0.0
CVE-2015-5588,microsoft,0.0
CVE-2015-5588,apple,0.0
CVE-2015-5588,google,0.0
CVE-2015-3959,garrettcom,7.2
CVE-2015-4692,linux,4.9
CVE-2015-6247,wireshark,4.3
CVE-2015-5749,apple,4.3
CVE-2015-5748,apple,2.1
CVE-2015-4696,wvware,4.3
CVE-2015-4695,wvware,5.0
CVE-2015-5747,apple,4.9
CVE-2015-5746,apple,5.0
CVE-2015-3120,adobe,0.0
CVE-2015-3120,linux,0.0
CVE-2015-3120,microsoft,0.0
CVE-2015-3120,apple,0.0
CVE-2015-6244,wireshark,4.3
CVE-2015-4374,webformproject,3.5
CVE-2015-4980,ibm,4.0
CVE-2015-4675,tinysrpproject,7.5
CVE-2015-6243,wireshark,4.3
CVE-2015-6242,wireshark,4.3
CVE-2015-1917,ibm,4.3
CVE-2015-3787,apple,3.3
CVE-2015-4240,cisco,5.0
CVE-2015-4670,devexpress,6.4
CVE-2015-3786,apple,4.3
CVE-2015-3123,adobe,0.0
CVE-2015-3123,linux,0.0
CVE-2015-3123,microsoft,0.0
CVE-2015-3123,apple,0.0
CVE-2015-4348,spidercontactsproject,6.0
CVE-2015-3429,automattic,4.3
CVE-2015-3429,wordpress,4.3
CVE-2015-3429,debian,4.3
CVE-2015-2917,securifi,4.3
CVE-2015-2916,securifi,6.8
CVE-2015-2915,securifi,7.3
CVE-2015-2914,securifi,5.0
CVE-2015-3422,searchblox,4.3
CVE-2015-4435,adobe,0.0
CVE-2015-4344,servicesbasicauthenticationproject,5.0
CVE-2015-4345,restfulwebservicesproject,5.0
CVE-2015-4346,smsframeworkproject,2.6
CVE-2015-3427,quassel-irc,7.5
CVE-2015-3427,debian,7.5
CVE-2015-5372,adnovum,5.0
CVE-2015-4328,cisco,4.0
CVE-2015-4188,cisco,5.0
CVE-2015-4189,cisco,6.8
CVE-2015-4186,cisco,7.2
CVE-2015-4184,cisco,5.0
CVE-2015-4185,cisco,6.9
CVE-2015-4182,cisco,5.5
CVE-2015-3122,adobe,0.0
CVE-2015-3122,microsoft,0.0
CVE-2015-3122,apple,0.0
CVE-2015-3122,linux,0.0
CVE-2015-5371,solarwinds,0.0
CVE-2015-4327,cisco,7.2
CVE-2015-1736,microsoft,9.3
CVE-2015-6818,ffmpeg,7.5
CVE-2015-5374,siemens,7.8
CVE-2015-1737,microsoft,9.3
CVE-2015-5375,open-xchange,4.3
CVE-2015-4323,cisco,6.1
CVE-2015-0218,moodle,6.8
CVE-2015-0219,djangoproject,5.0
CVE-2015-4320,cisco,4.0
CVE-2015-2169,zohocorp,4.3
CVE-2015-0212,moodle,3.5
CVE-2015-0213,moodle,6.8
CVE-2015-0211,moodle,4.0
CVE-2015-0216,moodle,3.5
CVE-2015-0217,moodle,6.8
CVE-2015-0214,moodle,4.0
CVE-2015-0215,moodle,4.0
CVE-2015-4234,cisco,7.2
CVE-2015-2233,lenovo,8.3
CVE-2015-4236,cisco,4.3
CVE-2015-4237,cisco,4.6
CVE-2015-4230,cisco,7.8
CVE-2015-4231,cisco,3.6
CVE-2015-4232,cisco,4.6
CVE-2015-4233,cisco,6.5
CVE-2015-4238,cisco,6.8
CVE-2015-4239,cisco,6.1
CVE-2015-3127,adobe,0.0
CVE-2015-3127,microsoft,0.0
CVE-2015-3127,apple,0.0
CVE-2015-3127,linux,0.0
CVE-2015-4377,petitionproject,2.1
CVE-2015-3631,docker,3.6
CVE-2015-3630,docker,7.2
CVE-2015-3633,foxitsoftware,5.0
CVE-2015-3632,foxitsoftware,4.3
CVE-2015-3636,linux,4.9
CVE-2015-0506,oracle,3.5
CVE-2015-0507,oracle,3.5
CVE-2015-0504,oracle,2.6
CVE-2015-0505,oracle,3.5
CVE-2015-0502,oracle,4.3
CVE-2015-0503,oracle,4.0
CVE-2015-0500,oracle,4.0
CVE-2015-0501,oracle,5.7
CVE-2015-2773,websense,5.0
CVE-2015-1856,openstack,5.5
CVE-2015-1856,canonical,5.5
CVE-2015-2771,websense,5.0
CVE-2015-2770,websense,6.8
CVE-2015-1852,openstack,4.3
CVE-2015-0508,oracle,4.0
CVE-2015-0509,oracle,4.3
CVE-2015-6522,wpsymposium,7.5
CVE-2015-3129,adobe,0.0
CVE-2015-3129,microsoft,0.0
CVE-2015-3129,apple,0.0
CVE-2015-3129,linux,0.0
CVE-2015-3187,apache,4.0
CVE-2015-3185,apache,4.3
CVE-2015-3184,apache,5.0
CVE-2015-3183,apache,5.0
